Name,Cap
D.Brees,23800000
P.Rivers,21166668
M.Ryan,19500000
A.Rodgers,18250000
M.Stafford,17721250
P.Manning,17500000
B.Roethlisberger,17245000
J.Cutler,16500000
A.Smith,15600000
C.Kaepernick,15265753
T.Romo,14973000
J.Flacco,14550000
E.Manning,14450000
T.Brady,14000000
C.Newton,13000000
S.Bradford,12985000
A.Dalton,9600000
C.Palmer,7375000
R.Wilson,7054868
A.Luck,7034363
R.Griffin,6719713
B.Hoyer,5218750
R.Tannehill,4873364
C.Daniel,4800000
B.Bortles,4694275
J.Winston,4609323
M.Mariota,4402541
N.Foles,4042000
J.McCown,3916666
D.Stanton,3866668
M.Sanchez,3750000
C.Henne,3500000
R.Fitzpatrick,3250000
S.Hill,3250000
M.Hasselbeck,3000000
M.Moore,2600000
E.Manuel,2423264
M.Schaub,2000000
J.Manziel,1874681
B.Gradkowski,1833334
K.Clemens,1822500
M.Cassel,1764705
D.Anderson,1764000
B.Gabbert,1750000
T.Bridgewater,1556705
T.Jackson,1500000
C.McCoy,1375000
G.Smith,1368983
D.Carr,1220864
S.Tolzien,1200000
B.Osweiler,1118944
A.Davis,966666
C.Whitehurst,941176
T.Taylor,883333
M.Glennon,846563
J.Garoppolo,791795
K.Cousins,778172
R.Nassib,698400
L.Jones,694805
J.Webb,665000
L.McCown,665000
D.Orlovsky,665000
G.Grayson,618291
S.Renfree,596474
M.Barkley,592500
S.Mannion,591449
M.McGloin,585000
C.Keenum,585000
M.Vick,585000
B.Petty,573424
A.Murray,563606
A.McCarron,555413
Z.Mettenberger,541279
T.Lewis,516176
R.Griffin,510000
B.Hundley,490908
T.Siemian,448195
T.Heinike,438333
J.Johnson,412941
T.Savage,408146
T.Yates,344117
C.Shaw,318000
M.Flynn,275294
B.Weeden,271764
J.Clausen,262941
K.Moore,232941
D.Fales,180000
D.Thompson,179117
L.Thomas,152500
R.Mallett,131470
K.Wenning,76764
A.Tanney,51176
S.Morris,51176
J.Showers,51176
J.Freeman,43823
R.Lindley,38823
P.Devlin,34411
